code,current,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,height,weight,disciplines
1888104,TRUE,ALOVATKI Pavel,ALOVATKI P,Pavel ALOVATKI,Male,Athlete,MDA,Republic of Moldova,Republic of Moldova,Republic of Moldova,Republic of Moldova,MDA,0,0,['Swimming']
1888113,TRUE,KOURAOGO Iman,KOURAOGO I,Iman KOURAOGO,Female,Athlete,BUR,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,BUR,0,0,['Swimming']
1888124,TRUE,ELFEKY Amina,ELFEKY A,Amina ELFEKY,Female,Athlete,EGY,Egypt,Egypt,Egypt,Egypt,EGY,0,0,['Artistic Swimming']
1888140,TRUE,MAIGA Ibrahim,MAIGA I,Ibrahim MAIGA,Male,Athlete,BUR,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,BUR,0,0,['Taekwondo']
1888156,TRUE,KITAGAWA Hikaru,KITAGAWA H,KITAGAWA Hikaru,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,163,0,['Football']
1888158,TRUE,KOGA Toko,KOGA T,KOGA Toko,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,173,0,['Football']
1888159,TRUE,TANIKAWA Momoko,TANIKAWA M,TANIKAWA Momoko,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,168,0,['Football']
1888160,TRUE,ISHIKAWA Rion,ISHIKAWA R,ISHIKAWA Rion,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,172,0,['Football']
1888169,TRUE,OHBA Shu,OHBA S,OHBA Shu,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,171,0,['Football']
1888170,TRUE,MORIYA Miyabi,MORIYA M,MORIYA Miyabi,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,164,0,['Football']
1888172,TRUE,CHIBA Remina,CHIBA R,CHIBA Remina,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,162,0,['Football']
1888173,TRUE,SEIKE Kiko,SEIKE K,SEIKE Kiko,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,166,0,['Football']
1888174,TRUE,FUJINO Aoba,FUJINO A,FUJINO Aoba,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,160,0,['Football']
1888175,TRUE,UEKI Riko,UEKI R,UEKI Riko,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,164,0,['Football']
1888179,TRUE,HAMANO Maika,HAMANO M,HAMANO Maika,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,165,0,['Football']
1888181,TRUE,MIYAZAWA Hinata,MIYAZAWA H,MIYAZAWA Hinata,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,160,0,['Football']
1888182,TRUE,NAGANO Fuka,NAGANO F,NAGANO Fuka,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,160,0,['Football']
1888184,TRUE,HIRAO Chika,HIRAO C,HIRAO Chika,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,173,0,['Football']
1888188,TRUE,TAKAHASHI Hana,TAKAHASHI H,TAKAHASHI Hana,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,169,0,['Football']
1888195,TRUE,HAYASHI Honoka,HAYASHI H,HAYASHI Honoka,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,157,0,['Football']
1888196,TRUE,YAMASHITA Ayaka,YAMASHITA A,YAMASHITA Ayaka,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,170,0,['Football']
1888203,TRUE,HASEGAWA Yui,HASEGAWA Y,HASEGAWA Yui,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,157,0,['Football']
1888209,TRUE,TANAKA Mina,TANAKA M,TANAKA Mina,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,164,0,['Football']
