code,current,team,team_gender,country_code,country,country_long,discipline,disciplines_code,events,num_athletes,num_coaches
CTRMMADISON-CZE01,TRUE,Czechia,M,CZE,Czechia,Czechia,Cycling Track,CTR,Men's Madison,2,
CTRMMADISON-DEN01,TRUE,Denmark,M,DEN,Denmark,Denmark,Cycling Track,CTR,Men's Madison,2,
CTRMMADISON-ESP01,TRUE,Spain,M,ESP,Spain,Spain,Cycling Track,CTR,Men's Madison,2,
CTRMMADISON-FRA01,TRUE,France,M,FRA,France,France,Cycling Track,CTR,Men's Madison,2,
CTRMMADISON-GBR01,TRUE,Great Britain,M,GBR,Great Britain,Great Britain,Cycling Track,CTR,Men's Madison,2,
CTRMMADISON-GER01,TRUE,Germany,M,GER,Germany,Germany,Cycling Track,CTR,Men's Madison,2,
CTRMMADISON-ITA01,TRUE,Italy,M,ITA,Italy,Italy,Cycling Track,CTR,Men's Madison,2,
CTRMMADISON-JPN01,TRUE,Japan,M,JPN,Japan,Japan,Cycling Track,CTR,Men's Madison,2,
CTRMMADISON-NED01,TRUE,Netherlands,M,NED,Netherlands,Netherlands,Cycling Track,CTR,Men's Madison,2,
CTRMMADISON-NZL01,TRUE,New Zealand,M,NZL,New Zealand,New Zealand,Cycling Track,CTR,Men's Madison,2,
CTRMMADISON-POR01,TRUE,Portugal,M,POR,Portugal,Portugal,Cycling Track,CTR,Men's Madison,2,
CTRMPURTEAM4AUS01,TRUE,Australia,M,AUS,Australia,Australia,Cycling Track,CTR,Men's Team Pursuit,5,
CTRMPURTEAM4BEL01,TRUE,Belgium,M,BEL,Belgium,Belgium,Cycling Track,CTR,Men's Team Pursuit,4,
CTRMPURTEAM4CAN01,TRUE,Canada,M,CAN,Canada,Canada,Cycling Track,CTR,Men's Team Pursuit,5,
CTRMPURTEAM4DEN01,TRUE,Denmark,M,DEN,Denmark,Denmark,Cycling Track,CTR,Men's Team Pursuit,6,
CTRMPURTEAM4FRA01,TRUE,France,M,FRA,France,France,Cycling Track,CTR,Men's Team Pursuit,5,
CTRMPURTEAM4GBR01,TRUE,Great Britain,M,GBR,Great Britain,Great Britain,Cycling Track,CTR,Men's Team Pursuit,6,
CTRMPURTEAM4GER01,TRUE,Germany,M,GER,Germany,Germany,Cycling Track,CTR,Men's Team Pursuit,5,
CTRMPURTEAM4ITA01,TRUE,Italy,M,ITA,Italy,Italy,Cycling Track,CTR,Men's Team Pursuit,5,
CTRMPURTEAM4JPN01,TRUE,Japan,M,JPN,Japan,Japan,Cycling Track,CTR,Men's Team Pursuit,5,
CTRMPURTEAM4NZL01,TRUE,New Zealand,M,NZL,New Zealand,New Zealand,Cycling Track,CTR,Men's Team Pursuit,5,
CTRMSPRTEAM3AUS01,TRUE,Australia,M,AUS,Australia,Australia,Cycling Track,CTR,Men's Team Sprint,4,
CTRMSPRTEAM3CAN01,TRUE,Canada,M,CAN,Canada,Canada,Cycling Track,CTR,Men's Team Sprint,4,
CTRMSPRTEAM3CHN01,TRUE,People's Republic of China,M,CHN,China,People's Republic of China,Cycling Track,CTR,Men's Team Sprint,4,
CTRMSPRTEAM3FRA01,TRUE,France,M,FRA,France,France,Cycling Track,CTR,Men's Team Sprint,4,
CTRMSPRTEAM3GBR01,TRUE,Great Britain,M,GBR,Great Britain,Great Britain,Cycling Track,CTR,Men's Team Sprint,4,
CTRMSPRTEAM3GER01,TRUE,Germany,M,GER,Germany,Germany,Cycling Track,CTR,Men's Team Sprint,4,
CTRMSPRTEAM3JPN01,TRUE,Japan,M,JPN,Japan,Japan,Cycling Track,CTR,Men's Team Sprint,5,
CTRMSPRTEAM3NED01,TRUE,Netherlands,M,NED,Netherlands,Netherlands,Cycling Track,CTR,Men's Team Sprint,4,
CTRWMADISON-AUS01,TRUE,Australia,W,AUS,Australia,Australia,Cycling Track,CTR,Women's Madison,2,
CTRWMADISON-BEL01,TRUE,Belgium,W,BEL,Belgium,Belgium,Cycling Track,CTR,Women's Madison,2,
CTRWMADISON-CAN01,TRUE,Canada,W,CAN,Canada,Canada,Cycling Track,CTR,Women's Madison,2,
CTRWMADISON-DEN01,TRUE,Denmark,W,DEN,Denmark,Denmark,Cycling Track,CTR,Women's Madison,2,
CTRWMADISON-FRA01,TRUE,France,W,FRA,France,France,Cycling Track,CTR,Women's Madison,2,
CTRWMADISON-GBR01,TRUE,Great Britain,W,GBR,Great Britain,Great Britain,Cycling Track,CTR,Women's Madison,2,
CTRWMADISON-GER01,TRUE,Germany,W,GER,Germany,Germany,Cycling Track,CTR,Women's Madison,2,
CTRWMADISON-IRL01,TRUE,Ireland,W,IRL,Ireland,Ireland,Cycling Track,CTR,Women's Madison,2,
CTRWMADISON-ITA01,TRUE,Italy,W,ITA,Italy,Italy,Cycling Track,CTR,Women's Madison,2,
CTRWMADISON-JPN01,TRUE,Japan,W,JPN,Japan,Japan,Cycling Track,CTR,Women's Madison,2,
CTRWMADISON-NED01,TRUE,Netherlands,W,NED,Netherlands,Netherlands,Cycling Track,CTR,Women's Madison,2,
CTRWMADISON-NZL01,TRUE,New Zealand,W,NZL,New Zealand,New Zealand,Cycling Track,CTR,Women's Madison,2,
CTRWMADISON-POL01,TRUE,Poland,W,POL,Poland,Poland,Cycling Track,CTR,Women's Madison,2,
CTRWMADISON-SUI01,TRUE,Switzerland,W,SUI,Switzerland,Switzerland,Cycling Track,CTR,Women's Madison,2,
CTRWMADISON-USA01,TRUE,United States of America,W,USA,United States,United States of America,Cycling Track,CTR,Women's Madison,2,
CTRWPURTEAM4AUS01,TRUE,Australia,W,AUS,Australia,Australia,Cycling Track,CTR,Women's Team Pursuit,5,
CTRWPURTEAM4CAN01,TRUE,Canada,W,CAN,Canada,Canada,Cycling Track,CTR,Women's Team Pursuit,5,
CTRWPURTEAM4FRA01,TRUE,France,W,FRA,France,France,Cycling Track,CTR,Women's Team Pursuit,5,
CTRWPURTEAM4GBR01,TRUE,Great Britain,W,GBR,Great Britain,Great Britain,Cycling Track,CTR,Women's Team Pursuit,6,
CTRWPURTEAM4GER01,TRUE,Germany,W,GER,Germany,Germany,Cycling Track,CTR,Women's Team Pursuit,4,
CTRWPURTEAM4IRL01,TRUE,Ireland,W,IRL,Ireland,Ireland,Cycling Track,CTR,Women's Team Pursuit,5,
CTRWPURTEAM4ITA01,TRUE,Italy,W,ITA,Italy,Italy,Cycling Track,CTR,Women's Team Pursuit,6,
CTRWPURTEAM4JPN01,TRUE,Japan,W,JPN,Japan,Japan,Cycling Track,CTR,Women's Team Pursuit,5,
CTRWPURTEAM4NZL01,TRUE,New Zealand,W,NZL,New Zealand,New Zealand,Cycling Track,CTR,Women's Team Pursuit,5,
CTRWPURTEAM4USA01,TRUE,United States of America,W,USA,United States,United States of America,Cycling Track,CTR,Women's Team Pursuit,6,
CTRWSPRTEAM3CAN01,TRUE,Canada,W,CAN,Canada,Canada,Cycling Track,CTR,Women's Team Sprint,4,
CTRWSPRTEAM3CHN01,TRUE,People's Republic of China,W,CHN,China,People's Republic of China,Cycling Track,CTR,Women's Team Sprint,4,
CTRWSPRTEAM3GBR01,TRUE,Great Britain,W,GBR,Great Britain,Great Britain,Cycling Track,CTR,Women's Team Sprint,4,
CTRWSPRTEAM3GER01,TRUE,Germany,W,GER,Germany,Germany,Cycling Track,CTR,Women's Team Sprint,4,
CTRWSPRTEAM3MEX01,TRUE,Mexico,W,MEX,Mexico,Mexico,Cycling Track,CTR,Women's Team Sprint,3,
CTRWSPRTEAM3NED01,TRUE,Netherlands,W,NED,Netherlands,Netherlands,Cycling Track,CTR,Women's Team Sprint,3,
CTRWSPRTEAM3NZL01,TRUE,New Zealand,W,NZL,New Zealand,New Zealand,Cycling Track,CTR,Women's Team Sprint,4,
CTRWSPRTEAM3POL01,TRUE,Poland,W,POL,Poland,Poland,Cycling Track,CTR,Women's Team Sprint,4,
DIVM10MTEAM2AUS01,TRUE,Australia,M,AUS,Australia,Australia,Diving,DIV,Men's Synchronised 10m Platform,2,
DIVM10MTEAM2CAN01,TRUE,Canada,M,CAN,Canada,Canada,Diving,DIV,Men's Synchronised 10m Platform,2,
DIVM10MTEAM2CHN01,TRUE,People's Republic of China,M,CHN,China,People's Republic of China,Diving,DIV,Men's Synchronised 10m Platform,2,
DIVM10MTEAM2FRA01,TRUE,France,M,FRA,France,France,Diving,DIV,Men's Synchronised 10m Platform,2,
DIVM10MTEAM2GBR01,TRUE,Great Britain,M,GBR,Great Britain,Great Britain,Diving,DIV,Men's Synchronised 10m Platform,2,
DIVM10MTEAM2GER01,TRUE,Germany,M,GER,Germany,Germany,Diving,DIV,Men's Synchronised 10m Platform,2,
DIVM10MTEAM2MEX01,TRUE,Mexico,M,MEX,Mexico,Mexico,Diving,DIV,Men's Synchronised 10m Platform,2,
DIVM10MTEAM2UKR01,TRUE,Ukraine,M,UKR,Ukraine,Ukraine,Diving,DIV,Men's Synchronised 10m Platform,2,
DIVM3MTEAM2-CHN01,TRUE,People's Republic of China,M,CHN,China,People's Republic of China,Diving,DIV,Men's Synchronised 3m Springboard,2,
DIVM3MTEAM2-ESP01,TRUE,Spain,M,ESP,Spain,Spain,Diving,DIV,Men's Synchronised 3m Springboard,2,
DIVM3MTEAM2-FRA01,TRUE,France,M,FRA,France,France,Diving,DIV,Men's Synchronised 3m Springboard,2,
DIVM3MTEAM2-GBR01,TRUE,Great Britain,M,GBR,Great Britain,Great Britain,Diving,DIV,Men's Synchronised 3m Springboard,2,
DIVM3MTEAM2-ITA01,TRUE,Italy,M,ITA,Italy,Italy,Diving,DIV,Men's Synchronised 3m Springboard,2,
DIVM3MTEAM2-MEX01,TRUE,Mexico,M,MEX,Mexico,Mexico,Diving,DIV,Men's Synchronised 3m Springboard,2,
DIVM3MTEAM2-UKR01,TRUE,Ukraine,M,UKR,Ukraine,Ukraine,Diving,DIV,Men's Synchronised 3m Springboard,2,
DIVM3MTEAM2-USA01,TRUE,United States of America,M,USA,United States,United States of America,Diving,DIV,Men's Synchronised 3m Springboard,2,
DIVW10MTEAM2CAN01,TRUE,Canada,W,CAN,Canada,Canada,Diving,DIV,Women's Synchronised 10m Platform,2,
DIVW10MTEAM2CHN01,TRUE,People's Republic of China,W,CHN,China,People's Republic of China,Diving,DIV,Women's Synchronised 10m Platform,2,
DIVW10MTEAM2FRA01,TRUE,France,W,FRA,France,France,Diving,DIV,Women's Synchronised 10m Platform,2,
DIVW10MTEAM2GBR01,TRUE,Great Britain,W,GBR,Great Britain,Great Britain,Diving,DIV,Women's Synchronised 10m Platform,2,
DIVW10MTEAM2MEX01,TRUE,Mexico,W,MEX,Mexico,Mexico,Diving,DIV,Women's Synchronised 10m Platform,2,
DIVW10MTEAM2PRK01,TRUE,Democratic People's Republic of Korea,W,PRK,DPR Korea,Democratic People's Republic of Korea,Diving,DIV,Women's Synchronised 10m Platform,2,
DIVW10MTEAM2UKR01,TRUE,Ukraine,W,UKR,Ukraine,Ukraine,Diving,DIV,Women's Synchronised 10m Platform,2,
DIVW10MTEAM2USA01,TRUE,United States of America,W,USA,United States,United States of America,Diving,DIV,Women's Synchronised 10m Platform,2,
DIVW3MTEAM2-AUS01,TRUE,Australia,W,AUS,Australia,Australia,Diving,DIV,Women's Synchronised 3m Springboard,2,
DIVW3MTEAM2-CHN01,TRUE,People's Republic of China,W,CHN,China,People's Republic of China,Diving,DIV,Women's Synchronised 3m Springboard,2,
DIVW3MTEAM2-FRA01,TRUE,France,W,FRA,France,France,Diving,DIV,Women's Synchronised 3m Springboard,2,
DIVW3MTEAM2-GBR01,TRUE,Great Britain,W,GBR,Great Britain,Great Britain,Diving,DIV,Women's Synchronised 3m Springboard,2,
DIVW3MTEAM2-GER01,TRUE,Germany,W,GER,Germany,Germany,Diving,DIV,Women's Synchronised 3m Springboard,2,
DIVW3MTEAM2-ITA01,TRUE,Italy,W,ITA,Italy,Italy,Diving,DIV,Women's Synchronised 3m Springboard,2,
DIVW3MTEAM2-UKR01,TRUE,Ukraine,W,UKR,Ukraine,Ukraine,Diving,DIV,Women's Synchronised 3m Springboard,2,
DIVW3MTEAM2-USA01,TRUE,United States of America,W,USA,United States,United States of America,Diving,DIV,Women's Synchronised 3m Springboard,2,
EQUODRESTEAMAUS01,TRUE,Australia,O,AUS,Australia,Australia,Equestrian,EQU,Dressage Team,4,
EQUODRESTEAMAUT01,TRUE,Austria,O,AUT,Austria,Austria,Equestrian,EQU,Dressage Team,4,
EQUODRESTEAMBEL01,TRUE,Belgium,O,BEL,Belgium,Belgium,Equestrian,EQU,Dressage Team,4,
EQUODRESTEAMCAN01,TRUE,Canada,O,CAN,Canada,Canada,Equestrian,EQU,Dressage Team,4,
EQUODRESTEAMDEN01,TRUE,Denmark,O,DEN,Denmark,Denmark,Equestrian,EQU,Dressage Team,4,
EQUODRESTEAMESP01,TRUE,Spain,O,ESP,Spain,Spain,Equestrian,EQU,Dressage Team,4,
EQUODRESTEAMFIN01,TRUE,Finland,O,FIN,Finland,Finland,Equestrian,EQU,Dressage Team,4,
EQUODRESTEAMFRA01,TRUE,France,O,FRA,France,France,Equestrian,EQU,Dressage Team,4,
EQUODRESTEAMGBR01,TRUE,Great Britain,O,GBR,Great Britain,Great Britain,Equestrian,EQU,Dressage Team,4,
EQUODRESTEAMGER01,TRUE,Germany,O,GER,Germany,Germany,Equestrian,EQU,Dressage Team,4,
EQUODRESTEAMNED01,TRUE,Netherlands,O,NED,Netherlands,Netherlands,Equestrian,EQU,Dressage Team,4,
EQUODRESTEAMPOL01,TRUE,Poland,O,POL,Poland,Poland,Equestrian,EQU,Dressage Team,4,
EQUODRESTEAMPOR01,TRUE,Portugal,O,POR,Portugal,Portugal,Equestrian,EQU,Dressage Team,4,
EQUODRESTEAMSWE01,TRUE,Sweden,O,SWE,Sweden,Sweden,Equestrian,EQU,Dressage Team,4,
EQUODRESTEAMUSA01,TRUE,United States of America,O,USA,United States,United States of America,Equestrian,EQU,Dressage Team,4,
EQUOEVENTEAMAUS01,TRUE,Australia,O,AUS,Australia,Australia,Equestrian,EQU,Eventing Team,4,
EQUOEVENTEAMBEL01,TRUE,Belgium,O,BEL,Belgium,Belgium,Equestrian,EQU,Eventing Team,4,
EQUOEVENTEAMBRA01,TRUE,Brazil,O,BRA,Brazil,Brazil,Equestrian,EQU,Eventing Team,4,
EQUOEVENTEAMCAN01,TRUE,Canada,O,CAN,Canada,Canada,Equestrian,EQU,Eventing Team,4,
EQUOEVENTEAMFRA01,TRUE,France,O,FRA,France,France,Equestrian,EQU,Eventing Team,4,
EQUOEVENTEAMGBR01,TRUE,Great Britain,O,GBR,Great Britain,Great Britain,Equestrian,EQU,Eventing Team,4,
EQUOEVENTEAMGER01,TRUE,Germany,O,GER,Germany,Germany,Equestrian,EQU,Eventing Team,4,
EQUOEVENTEAMIRL01,TRUE,Ireland,O,IRL,Ireland,Ireland,Equestrian,EQU,Eventing Team,4,
EQUOEVENTEAMITA01,TRUE,Italy,O,ITA,Italy,Italy,Equestrian,EQU,Eventing Team,4,
EQUOEVENTEAMJPN01,TRUE,Japan,O,JPN,Japan,Japan,Equestrian,EQU,Eventing Team,4,
EQUOEVENTEAMNED01,TRUE,Netherlands,O,NED,Netherlands,Netherlands,Equestrian,EQU,Eventing Team,4,
EQUOEVENTEAMNZL01,TRUE,New Zealand,O,NZL,New Zealand,New Zealand,Equestrian,EQU,Eventing Team,4,
EQUOEVENTEAMPOL01,TRUE,Poland,O,POL,Poland,Poland,Equestrian,EQU,Eventing Team,4,
EQUOEVENTEAMSUI01,TRUE,Switzerland,O,SUI,Switzerland,Switzerland,Equestrian,EQU,Eventing Team,4,
EQUOEVENTEAMSWE01,TRUE,Sweden,O,SWE,Sweden,Sweden,Equestrian,EQU,Eventing Team,4,
EQUOEVENTEAMUSA01,TRUE,United States of America,O,USA,United States,United States of America,Equestrian,EQU,Eventing Team,4,
EQUOJUMPTEAMAUS01,TRUE,Australia,O,AUS,Australia,Australia,Equestrian,EQU,Jumping Team,4,
EQUOJUMPTEAMAUT01,TRUE,Austria,O,AUT,Austria,Austria,Equestrian,EQU,Jumping Team,4,
EQUOJUMPTEAMBEL01,TRUE,Belgium,O,BEL,Belgium,Belgium,Equestrian,EQU,Jumping Team,4,
EQUOJUMPTEAMBRA01,TRUE,Brazil,O,BRA,Brazil,Brazil,Equestrian,EQU,Jumping Team,4,
EQUOJUMPTEAMCAN01,TRUE,Canada,O,CAN,Canada,Canada,Equestrian,EQU,Jumping Team,4,
EQUOJUMPTEAMESP01,TRUE,Spain,O,ESP,Spain,Spain,Equestrian,EQU,Jumping Team,4,
EQUOJUMPTEAMFRA01,TRUE,France,O,FRA,France,France,Equestrian,EQU,Jumping Team,4,
EQUOJUMPTEAMGBR01,TRUE,Great Britain,O,GBR,Great Britain,Great Britain,Equestrian,EQU,Jumping Team,4,
EQUOJUMPTEAMGER01,TRUE,Germany,O,GER,Germany,Germany,Equestrian,EQU,Jumping Team,4,
EQUOJUMPTEAMIRL01,TRUE,Ireland,O,IRL,Ireland,Ireland,Equestrian,EQU,Jumping Team,4,
EQUOJUMPTEAMISR01,TRUE,Israel,O,ISR,Israel,Israel,Equestrian,EQU,Jumping Team,4,
EQUOJUMPTEAMJPN01,TRUE,Japan,O,JPN,Japan,Japan,Equestrian,EQU,Jumping Team,4,
EQUOJUMPTEAMKSA01,TRUE,Saudi Arabia,O,KSA,Saudi Arabia,Saudi Arabia,Equestrian,EQU,Jumping Team,4,
EQUOJUMPTEAMMEX01,TRUE,Mexico,O,MEX,Mexico,Mexico,Equestrian,EQU,Jumping Team,4,
EQUOJUMPTEAMNED01,TRUE,Netherlands,O,NED,Netherlands,Netherlands,Equestrian,EQU,Jumping Team,4,
EQUOJUMPTEAMPOL01,TRUE,Poland,O,POL,Poland,Poland,Equestrian,EQU,Jumping Team,4,
EQUOJUMPTEAMSUI01,TRUE,Switzerland,O,SUI,Switzerland,Switzerland,Equestrian,EQU,Jumping Team,4,
EQUOJUMPTEAMSWE01,TRUE,Sweden,O,SWE,Sweden,Sweden,Equestrian,EQU,Jumping Team,4,
EQUOJUMPTEAMUAE01,TRUE,United Arab Emirates,O,UAE,UA Emirates,United Arab Emirates,Equestrian,EQU,Jumping Team,4,
EQUOJUMPTEAMUSA01,TRUE,United States of America,O,USA,United States,United States of America,Equestrian,EQU,Jumping Team,4,
FBLMTEAM11--ARG01,TRUE,Argentina,M,ARG,Argentina,Argentina,Football,FBL,Men,18,4
FBLMTEAM11--DOM01,TRUE,Dominican Republic,M,DOM,Dominican Republic,Dominican Republic,Football,FBL,Men,19,3
FBLMTEAM11--EGY01,TRUE,Egypt,M,EGY,Egypt,Egypt,Football,FBL,Men,19,3
FBLMTEAM11--ESP01,TRUE,Spain,M,ESP,Spain,Spain,Football,FBL,Men,22,3
FBLMTEAM11--FRA01,TRUE,France,M,FRA,France,France,Football,FBL,Men,21,4
FBLMTEAM11--GUI01,TRUE,Guinea,M,GUI,Guinea,Guinea,Football,FBL,Men,19,3
FBLMTEAM11--IRQ01,TRUE,Iraq,M,IRQ,Iraq,Iraq,Football,FBL,Men,19,3
FBLMTEAM11--ISR01,TRUE,Israel,M,ISR,Israel,Israel,Football,FBL,Men,19,3
FBLMTEAM11--JPN01,TRUE,Japan,M,JPN,Japan,Japan,Football,FBL,Men,21,3
FBLMTEAM11--MAR01,TRUE,Morocco,M,MAR,Morocco,Morocco,Football,FBL,Men,19,3
FBLMTEAM11--MLI01,TRUE,Mali,M,MLI,Mali,Mali,Football,FBL,Men,18,3
FBLMTEAM11--NZL01,TRUE,New Zealand,M,NZL,New Zealand,New Zealand,Football,FBL,Men,20,4
FBLMTEAM11--PAR01,TRUE,Paraguay,M,PAR,Paraguay,Paraguay,Football,FBL,Men,19,3
FBLMTEAM11--UKR01,TRUE,Ukraine,M,UKR,Ukraine,Ukraine,Football,FBL,Men,18,2
FBLMTEAM11--USA01,TRUE,United States of America,M,USA,United States,United States of America,Football,FBL,Men,19,4
FBLMTEAM11--UZB01,TRUE,Uzbekistan,M,UZB,Uzbekistan,Uzbekistan,Football,FBL,Men,21,2
FBLWTEAM11--AUS01,TRUE,Australia,W,AUS,Australia,Australia,Football,FBL,Women,19,3
FBLWTEAM11--BRA01,TRUE,Brazil,W,BRA,Brazil,Brazil,Football,FBL,Women,22,3
FBLWTEAM11--CAN01,TRUE,Canada,W,CAN,Canada,Canada,Football,FBL,Women,19,4
FBLWTEAM11--COL01,TRUE,Colombia,W,COL,Colombia,Colombia,Football,FBL,Women,19,3
FBLWTEAM11--ESP01,TRUE,Spain,W,ESP,Spain,Spain,Football,FBL,Women,22,3
FBLWTEAM11--FRA01,TRUE,France,W,FRA,France,France,Football,FBL,Women,20,4
FBLWTEAM11--GER01,TRUE,Germany,W,GER,Germany,Germany,Football,FBL,Women,20,4
FBLWTEAM11--JPN01,TRUE,Japan,W,JPN,Japan,Japan,Football,FBL,Women,22,3
FBLWTEAM11--NGR01,TRUE,Nigeria,W,NGR,Nigeria,Nigeria,Football,FBL,Women,18,2
FBLWTEAM11--NZL01,TRUE,New Zealand,W,NZL,New Zealand,New Zealand,Football,FBL,Women,19,4
FBLWTEAM11--USA01,TRUE,United States of America,W,USA,United States,United States of America,Football,FBL,Women,20,3
FBLWTEAM11--ZAM01,TRUE,Zambia,W,ZAM,Zambia,Zambia,Football,FBL,Women,20,4
FENMTEAMEPEECZE01,TRUE,Czechia,M,CZE,Czechia,Czechia,Fencing,FEN,Men's Épée Team,4,3
FENMTEAMEPEEEGY01,TRUE,Egypt,M,EGY,Egypt,Egypt,Fencing,FEN,Men's Épée Team,4,3
FENMTEAMEPEEFRA01,TRUE,France,M,FRA,France,France,Fencing,FEN,Men's Épée Team,4,3
FENMTEAMEPEEHUN01,TRUE,Hungary,M,HUN,Hungary,Hungary,Fencing,FEN,Men's Épée Team,4,3
FENMTEAMEPEEITA01,TRUE,Italy,M,ITA,Italy,Italy,Fencing,FEN,Men's Épée Team,4,3
FENMTEAMEPEEJPN01,TRUE,Japan,M,JPN,Japan,Japan,Fencing,FEN,Men's Épée Team,4,3
FENMTEAMEPEEKAZ01,TRUE,Kazakhstan,M,KAZ,Kazakhstan,Kazakhstan,Fencing,FEN,Men's Épée Team,4,3
FENMTEAMEPEEVEN01,TRUE,Venezuela,M,VEN,Venezuela,Venezuela,Fencing,FEN,Men's Épée Team,4,2
FENMTEAMFOILCAN01,TRUE,Canada,M,CAN,Canada,Canada,Fencing,FEN,Men's Foil Team,4,2
FENMTEAMFOILCHN01,TRUE,People's Republic of China,M,CHN,China,People's Republic of China,Fencing,FEN,Men's Foil Team,4,2
FENMTEAMFOILEGY01,TRUE,Egypt,M,EGY,Egypt,Egypt,Fencing,FEN,Men's Foil Team,4,3
FENMTEAMFOILFRA01,TRUE,France,M,FRA,France,France,Fencing,FEN,Men's Foil Team,4,3
FENMTEAMFOILITA01,TRUE,Italy,M,ITA,Italy,Italy,Fencing,FEN,Men's Foil Team,4,3
FENMTEAMFOILJPN01,TRUE,Japan,M,JPN,Japan,Japan,Fencing,FEN,Men's Foil Team,4,3
FENMTEAMFOILPOL01,TRUE,Poland,M,POL,Poland,Poland,Fencing,FEN,Men's Foil Team,4,3
FENMTEAMFOILUSA01,TRUE,United States of America,M,USA,United States,United States of America,Fencing,FEN,Men's Foil Team,4,3
FENMTEAMSABRCAN01,TRUE,Canada,M,CAN,Canada,Canada,Fencing,FEN,Men's Sabre Team,4,2
FENMTEAMSABREGY01,TRUE,Egypt,M,EGY,Egypt,Egypt,Fencing,FEN,Men's Sabre Team,4,3
FENMTEAMSABRFRA01,TRUE,France,M,FRA,France,France,Fencing,FEN,Men's Sabre Team,4,3
FENMTEAMSABRHUN01,TRUE,Hungary,M,HUN,Hungary,Hungary,Fencing,FEN,Men's Sabre Team,4,3
FENMTEAMSABRIRI01,TRUE,Islamic Republic of Iran,M,IRI,IR Iran,Islamic Republic of Iran,Fencing,FEN,Men's Sabre Team,4,2
FENMTEAMSABRITA01,TRUE,Italy,M,ITA,Italy,Italy,Fencing,FEN,Men's Sabre Team,4,3
FENMTEAMSABRKOR01,TRUE,Republic of Korea,M,KOR,Korea,Republic of Korea,Fencing,FEN,Men's Sabre Team,4,3
FENMTEAMSABRUSA01,TRUE,United States of America,M,USA,United States,United States of America,Fencing,FEN,Men's Sabre Team,4,3
FENWTEAMEPEECHN01,TRUE,People's Republic of China,W,CHN,China,People's Republic of China,Fencing,FEN,Women's Épée Team,4,3
FENWTEAMEPEEEGY01,TRUE,Egypt,W,EGY,Egypt,Egypt,Fencing,FEN,Women's Épée Team,4,3
FENWTEAMEPEEFRA01,TRUE,France,W,FRA,France,France,Fencing,FEN,Women's Épée Team,4,3
FENWTEAMEPEEITA01,TRUE,Italy,W,ITA,Italy,Italy,Fencing,FEN,Women's Épée Team,4,3
FENWTEAMEPEEKOR01,TRUE,Republic of Korea,W,KOR,Korea,Republic of Korea,Fencing,FEN,Women's Épée Team,4,3
FENWTEAMEPEEPOL01,TRUE,Poland,W,POL,Poland,Poland,Fencing,FEN,Women's Épée Team,4,3
FENWTEAMEPEEUKR01,TRUE,Ukraine,W,UKR,Ukraine,Ukraine,Fencing,FEN,Women's Épée Team,4,3
FENWTEAMEPEEUSA01,TRUE,United States of America,W,USA,United States,United States of America,Fencing,FEN,Women's Épée Team,4,3
FENWTEAMFOILCAN01,TRUE,Canada,W,CAN,Canada,Canada,Fencing,FEN,Women's Foil Team,4,2
FENWTEAMFOILCHN01,TRUE,People's Republic of China,W,CHN,China,People's Republic of China,Fencing,FEN,Women's Foil Team,4,3
FENWTEAMFOILEGY01,TRUE,Egypt,W,EGY,Egypt,Egypt,Fencing,FEN,Women's Foil Team,4,3
FENWTEAMFOILFRA01,TRUE,France,W,FRA,France,France,Fencing,FEN,Women's Foil Team,4,3
FENWTEAMFOILITA01,TRUE,Italy,W,ITA,Italy,Italy,Fencing,FEN,Women's Foil Team,4,3
FENWTEAMFOILJPN01,TRUE,Japan,W,JPN,Japan,Japan,Fencing,FEN,Women's Foil Team,4,3
FENWTEAMFOILPOL01,TRUE,Poland,W,POL,Poland,Poland,Fencing,FEN,Women's Foil Team,4,3
FENWTEAMFOILUSA01,TRUE,United States of America,W,USA,United States,United States of America,Fencing,FEN,Women's Foil Team,4,3
FENWTEAMSABRALG01,TRUE,Algeria,W,ALG,Algeria,Algeria,Fencing,FEN,Women's Sabre Team,4,2
FENWTEAMSABRFRA01,TRUE,France,W,FRA,France,France,Fencing,FEN,Women's Sabre Team,4,3
FENWTEAMSABRHUN01,TRUE,Hungary,W,HUN,Hungary,Hungary,Fencing,FEN,Women's Sabre Team,4,3
FENWTEAMSABRITA01,TRUE,Italy,W,ITA,Italy,Italy,Fencing,FEN,Women's Sabre Team,4,3
FENWTEAMSABRJPN01,TRUE,Japan,W,JPN,Japan,Japan,Fencing,FEN,Women's Sabre Team,4,3
FENWTEAMSABRKOR01,TRUE,Republic of Korea,W,KOR,Korea,Republic of Korea,Fencing,FEN,Women's Sabre Team,4,3
FENWTEAMSABRUKR01,TRUE,Ukraine,W,UKR,Ukraine,Ukraine,Fencing,FEN,Women's Sabre Team,4,3
FENWTEAMSABRUSA01,TRUE,United States of America,W,USA,United States,United States of America,Fencing,FEN,Women's Sabre Team,4,3
GARMTEAM----CAN01,TRUE,Canada,M,CAN,Canada,Canada,Artistic Gymnastics,GAR,Men's Team,5,
GARMTEAM----CHN01,TRUE,People's Republic of China,M,CHN,China,People's Republic of China,Artistic Gymnastics,GAR,Men's Team,5,
GARMTEAM----ESP01,TRUE,Spain,M,ESP,Spain,Spain,Artistic Gymnastics,GAR,Men's Team,5,
GARMTEAM----GBR01,TRUE,Great Britain,M,GBR,Great Britain,Great Britain,Artistic Gymnastics,GAR,Men's Team,5,
